lossyear,suburb_rated,exposure
2017,ABBEY,73.12328767
2017,ACTON PARK,1
2017,ADELINE,15.83013699
2017,ALBANY,162.0273973
2017,ALEXANDER HEIGHTS,842.3726027
2017,ALEXANDRA BRIDGE,1
2017,ALFRED COVE,293.3945206
2017,ALKIMOS,669.7123288
2017,ALLANSON,27.79726027
2017,AMBERGATE,6.21369863
2017,AMELUP,1
2017,ANKETELL,19
2017,APPLECROSS,533.5068493
2017,ARDROSS,403.6438356
2017,ARGYLE,21.70410959
2017,ARMADALE,1187.164384
2017,ASCOT,307.5835616
2017,ASHBY,204.5178082
2017,ASHFIELD,146.9561644
2017,ATTADALE,616.2136986
2017,ATWELL,887.4986301
2017,AUBIN GROVE,579.1479452
2017,AUGUSTA,192.7041096
2017,AUSTRALIND,1166.709589
2017,AVELEY,930.8794521
2017,BABAKIN,1
2017,BADGEBUP,1
2017,BADGINGARRA,2.649315069
2017,BAKERS HILL,75.13150685
2017,BALBARRUP,2
2017,BALCATTA,1276.134247
2017,BALDIVIS,2793.613699
2017,BALGA,1196.69863
2017,BALINGUP,39.34520548
2017,BALKULING,0.136986301
2017,BALLAJURA,1843.947945
2017,BALLIDU,7.975342466
2017,BANDY CREEK,13.05479452
2017,BANJUP,233.7589041
2017,BANKSIA GROVE,843.8383562
2017,BARRAGUP,76.54520548
2017,BASKERVILLE,12.39178082
2017,BASSENDEAN,1391.347945
2017,BATEMAN,373.2712329
2017,BAYNTON,83.30136986
2017,BAYONET HEAD,253.6821918
2017,BAYSWATER,1500.232877
2017,BEACHLANDS,120.0493151
2017,BEACON,2.849315069
2017,BEACONSFIELD,581.6547945
2017,BECKENHAM,775.7068493
2017,BEDFORD,667.0136986
2017,BEDFORD HARBOUR,1
2017,BEDFORDALE,192.8164384
2017,BEECHBORO,1004.610959
2017,BEECHINA,6.747945206
2017,BEELERUP,1.432876712
2017,BEELIAR,661.6767123
2017,BEERMULLAH,0.065753425
2017,BEJOORDING,6.810958904
2017,BELDON,385.569863
2017,BELHUS,13.63561644
2017,BELLEVUE,169.9342466
2017,BELMONT,625.630137
2017,BENCUBBIN,10.49589041
2017,BENGER,1.197260274
2017,BENNETT SPRINGS,398.7972603
2017,BENTLEY,565.0219178
2017,BERESFORD,122.9561644
2017,BERKSHIRE VALLEY,1
2017,BERTRAM,489.769863
2017,BEVERLEY,72.38082192
2017,BIBRA LAKE,677.4849315
2017,BICKLEY,24.90410959
2017,BICTON,688.0958904
2017,BIG GROVE,9.463013699
2017,BILINGURR,0.34520548
2017,BINDOON,69.61369863
2017,BINNINGUP,103.8739726
2017,BIRCHMONT,5.304109589
2017,BLACKSTONE,0.347945206
2017,BLUFF POINT,111.4630137
2017,BLYTHEWOOD,1.797260274
2017,BOALLIA,1
2017,BODDINGTON,71.38630137
2017,BOLGART,8.317808219
2017,BONNIEFIELD,1
2017,BOOKARA,1.235616438
2017,BOORAGOON,598.2876712
2017,BOORARA BROOK,3.421917808
2017,BORDEN,1
2017,BORNHOLM,3
2017,BOSCABEL,1
2017,BOULDER,580.8520548
2017,BOUVARD,107.2493151
2017,BOVELL,34.35342466
2017,BOW BRIDGE,1
2017,BOWELLING,1
2017,BOWES,1
2017,BOYA,73.05479452
2017,BOYANUP,62.19726027
2017,BOYUP BROOK,40.09589041
2017,BRABHAM,441.0712329
2017,BRAMLEY,2
2017,BREMER BAY,30.21369863
2017,BRENTWOOD,185.5232877
2017,BRIDGETOWN,222.8739726
2017,BRIGADOON,40
2017,BROADWATER,311.9178082
2017,BROADWOOD,36.22191781
2017,BROCKMAN,3.693150685
2017,BROOKDALE,188.6986301
2017,BROOKHAMPTON,3.156164384
2017,BROOKTON,17.89863014
2017,BROOME,2.238356164
2017,BROOMEHILL,5.046575343
2017,BROOMEHILL VILLAGE,8.298630137
2017,BROOMEHILL WEST,1
2017,BRUCE ROCK,35.4520548
2017,BRUNSWICK,44.34520548
2017,BUCKINGHAM,1
2017,BULGARRA,44.13424658
2017,BULL CREEK,880.5506849
2017,BULLER,3.97260274
2017,BULLFINCH,1
2017,BULLSBROOK,300.1835616
2017,BUNBURY,436.5452055
2017,BUNJIL,0.112328767
2017,BUNTINE,2.75890411
2017,BUREKUP,36.59452055
2017,BURNS BEACH,286.2465753
2017,BURNSIDE,11.88219178
2017,BURRACOPPIN,4
2017,BURSWOOD,149.4630137
2017,BUSSELTON,367.8986301
2017,BUTLER,1178.687671
2017,BYFORD,1089.517808
2017,CABLE BEACH,5.021917808
2017,CADOUX,2
2017,CALINGIRI,11.29315069
2017,CALISTA,179.4630137
2017,CAMILLO,250.4356164
2017,CANNING MILLS,2
2017,CANNING VALE,2940.128767
2017,CANNINGTON,523.8082192
2017,CAPE BURNEY,52.30136986
2017,CAPEL,157.8438356
2017,CAPEL RIVER,1
2017,CARABOODA,4.41369863
2017,CARBUNUP RIVER,5.295890411
2017,CARDIFF,2
